gene	GSM446731	GSM446732	GSM446733	GSM446734	GSM446735	GSM446736	GSM446737	GSM446738	GSM446739	GSM446740	GSM446741	GSM446742	GSM446743	GSM446744	GSM446745	GSM446746	GSM446747	GSM446748	GSM446749	GSM446750	GSM446751	GSM446752	GSM446753	GSM446754	GSM446755	GSM446756	GSM446757	GSM388115	GSM388116	GSM388117	GSM388118	GSM388119	GSM388120	GSM388121	GSM388122	GSM388123	GSM388124	GSM388125	GSM388126	GSM388127	GSM388128	GSM388129	GSM388130	GSM388131	GSM388132	GSM388133	GSM388134	GSM388135	GSM388136	GSM388137	GSM388138	GSM388139	GSM388140	GSM388141	GSM388142	GSM388143	GSM388144	GSM388145	GSM388146	GSM388147	GSM388148	GSM388149	GSM388150	GSM388151	GSM388152	GSM388153
NCF4	5.156404503	5.087406889	4.998344303	5.837297016	5.496757518	5.566100713	5.23354923	5.568238214	5.464906121	5.029764352	5.030674702	5.514565852	5.434557177	4.753668243	5.500832999	5.764369116	6.1765343	5.410374463	5.425161926	5.686212084	5.732805084	5.003535461	5.232007782	5.769273672	5.53342369	5.573612138	4.735454502	5.915750779	6.33431035	5.186696496	4.890457829	5.30003672	5.344340794	4.827223956	5.952888716	5.875998181	6.449862946	6.349400366	5.350145804	5.252460867	6.080337969	4.754798056	5.984154568	5.604028958	4.669885818	5.495007271	5.15904468	4.862832903	6.095028623	6.046729916	4.68690231	5.223487243	4.564966851	5.866848484	5.079100495	5.302035766	4.611706663	4.925626002	4.912490196	5.426034898	4.328812756	5.566093786	5.11555609	6.470870592	5.874850413	4.969941654
NCF1	4.895140155	4.565103245	5.499648448	5.96808555	4.699449927	5.771648773	5.708619586	5.852395708	5.74799154	5.543075181	4.736777402	5.927457235	5.825057188	5.31218697	5.877707753	6.37091334	7.24950145	5.669192797	6.115924354	5.535958391	6.64496994	6.407515612	5.661637324	5.261760957	5.427171267	5.649192497	5.899969076	6.689617474	6.885348286	5.242698382	5.00274967	5.754447371	5.486187902	4.817772085	5.750740128	6.103958958	7.326031182	6.347062043	5.654965693	5.221399721	6.367008442	5.465702197	5.879019668	5.581519908	5.197498041	6.088925788	5.619670661	5.179495555	6.646427196	6.455766947	4.889769671	5.673796554	5.047230608	6.310034703	5.181329303	5.4316721	5.022648684	5.383645894	5.132435317	5.713827355	4.630747531	5.888942164	5.254943338	6.588714295	5.858548686	5.128193848
NCEH1	5.49702243	7.58794069	5.521305328	5.501654144	6.694713775	7.203836878	5.393542103	5.321473997	5.363502982	5.565486566	6.005436607	5.787168051	5.220583647	4.820377533	5.455706988	5.096890912	5.269060197	5.224480225	6.585998321	4.83141612	5.787867431	5.29967103	5.819607118	5.448636752	6.150707539	4.862820647	5.274215856	6.178589695	6.361311004	5.621211082	5.728216627	5.76119802	5.765286569	6.676429783	4.952532896	4.892967976	6.296750737	5.857807426	4.967890436	5.53052098	4.073039498	6.803901115	4.485000409	5.186756408	5.818051664	5.651590281	5.381274012	5.196411881	5.569379823	6.897534781	6.557948994	5.501618133	5.333288303	5.590848604	5.848572045	5.870752439	6.591530106	5.072317519	5.071770273	5.624026901	5.880556333	5.989729564	5.445511018	6.045837041	5.854004482	4.469896673
NCBP2	6.252875169	6.26167661	6.297052966	6.785902345	7.236889601	6.616948803	6.718823677	6.912187937	6.780026493	6.412211324	6.705426228	6.076310743	6.307001677	5.966439952	6.706955101	6.731789378	6.795809544	6.325968181	7.251908338	6.367381425	6.6360107	7.068219561	6.266355015	6.271207785	6.484787092	6.590120811	6.400402641	6.711878642	6.833649395	6.781148484	6.671239542	6.812045139	6.685554291	6.61454825	6.503425911	6.431991489	6.725378177	6.608824467	6.655684211	6.504478804	6.201696943	7.654254347	6.010127633	6.459462587	6.395696607	6.320525863	6.487366663	6.286649255	6.358440794	7.149435176	7.115907725	6.695274382	6.425776996	6.529528971	6.499437246	6.722111432	6.680432755	6.278393354	6.703767846	6.42500695	6.417392024	6.137871194	6.016710886	6.790605354	6.527082589	6.387752436
NCAPH	5.344965763	4.746014143	4.6271466	4.789776677	5.188525451	5.205514358	4.807806632	4.677183932	4.902780573	5.302863631	5.057510151	5.160646355	4.893960485	4.523260301	5.546431576	4.677618348	5.483487221	4.403676939	5.451794964	5.360978851	5.827863276	5.082974354	5.258465631	4.547203494	4.893960485	4.892897297	4.990337231	5.147486509	5.321915797	4.990973454	4.932854791	5.354027818	5.450206933	4.798872663	4.408620581	4.91177586	5.366619897	5.094330936	5.620598179	4.78463274	5.018764188	5.55283897	4.46069455	4.47881445	4.718991008	4.780592164	4.589651186	4.65541583	5.013405958	6.264605806	5.585373418	5.256793041	4.900808415	4.994606232	4.760682395	5.083407051	5.493418534	4.910194768	5.159802269	5.103007522	4.967278514	4.545165553	4.770653025	4.947621564	4.646524798	5.021974883
NCAPG2	5.132452662	5.00353753	5.146185475	5.151299046	5.883424407	5.448472167	5.222056776	5.25241222	5.063524808	4.983976033	5.083669341	5.325500764	5.076332665	5.098146121	5.083725034	5.540349422	5.071369418	4.812659463	6.158606078	5.070586817	5.250725706	4.584721034	5.13511366	4.945132176	5.431649257	5.054156325	5.215300304	5.427113681	5.595886189	4.93417384	4.998100758	5.316391572	5.564006396	5.459209616	4.849068185	5.124780908	5.362000089	5.115989736	5.597082582	4.841484132	5.009084385	5.391906092	5.065978904	4.767795374	4.610829471	5.078330104	4.768383548	4.571777152	5.174566877	5.858819139	5.583710854	5.562562627	5.056824624	5.325214751	5.412891344	4.966864107	5.667477814	4.908135402	5.276005872	5.645332141	5.039118651	5.238368134	5.261036201	5.183143152	5.070790188	4.997403325
NCAPG	3.956446211	3.66692565	4.118738723	4.478903579	5.088669028	3.618545018	3.388631197	3.179088544	3.479112331	3.624184037	3.908350501	3.8438287	3.632624783	3.269837889	3.821043103	3.646572158	3.546233958	2.7747879	4.393506569	3.947890102	4.837416267	3.688562842	3.557131317	3.199077686	3.977872273	3.698778609	4.016716423	4.8251128	5.146157518	4.008647166	3.95037835	3.963762499	4.161962297	3.529433163	3.12735473	3.231840224	3.712330246	3.958265944	5.077983481	3.062704128	3.357332422	4.109391043	3.378995127	3.167198729	3.118511607	3.236288633	2.954191523	2.941973004	3.415185694	6.172680518	4.995440542	4.1098899	3.450733231	3.874608043	3.73475796	3.673061666	3.693267601	3.315027408	3.993095635	4.114509338	3.305815464	3.818020013	3.13507534	3.717985375	3.591034425	3.171629636
NCALD	6.359270462	6.068428567	6.077818436	6.372145092	5.902585614	6.04579151	6.357748058	7.115198597	6.671030243	5.856096916	5.990792966	5.724487007	6.469639679	6.024807311	5.854111005	6.169347469	6.62268344	7.108898297	6.38062984	6.378654161	5.72435278	6.482956691	6.14019968	6.548473249	6.292267078	5.883727363	6.096918195	5.390989803	5.687296601	6.046302657	6.108083565	5.982023241	6.070639056	6.340132733	7.825528054	6.532048771	5.705092522	6.676088533	5.406704922	6.480935292	7.066156883	5.797167069	6.844948256	6.491142996	5.699133354	6.488278978	6.665123374	6.658266072	6.681584081	5.182363885	5.769078902	6.369090427	6.136715078	6.706658314	6.330646563	5.815909822	6.537806948	5.813347269	6.652543838	6.011341958	6.473605346	5.66367775	6.63690094	6.334372751	6.143908355	6.501162821
NAT2	3.617804075	3.941841755	3.863183458	3.963980138	4.628078676	3.530302927	3.52365457	4.086544701	3.996438707	3.721446167	4.322324809	3.428363091	3.493163305	5.066177034	3.766342953	3.315413413	3.909816686	4.185517414	3.874819093	4.086544701	4.086544701	3.917546208	4.042377984	3.744040031	3.177564812	4.425664879	3.831687636	4.107812191	4.068635395	3.730695522	3.847427651	4.166612951	4.225206846	3.353637125	3.799718641	3.847394734	3.681983084	4.000210542	6.568954491	3.981322724	4.251245626	3.790542155	3.901990286	3.963470606	3.694796327	3.621014959	3.65646017	3.787255751	3.608501697	3.760470274	3.611011703	3.635393957	3.989728558	3.84845314	3.562985297	3.698190574	3.802775006	3.988517923	3.800848591	3.791599366	4.093497755	3.755147164	3.654806111	3.709063012	3.575725886	4.060810495
NAP1L5	4.757763878	4.697464974	4.462449889	4.270795293	4.825031471	4.391969141	4.797259882	5.051116048	4.769556636	4.455788137	5.174104524	4.933380353	4.658273312	4.722035686	4.420365002	4.702371219	4.981133824	5.337799063	4.997670476	4.608738849	4.86128527	4.669702816	4.859643445	5.008814756	4.589973707	4.641495328	4.487510761	4.368422737	4.766704615	4.659000213	4.349814005	4.582292278	4.647653338	4.187875258	6.393284648	4.866370595	4.64918493	5.190453564	4.419309239	4.825884794	5.603397376	4.075887255	6.237182204	5.037847883	4.012035749	4.896518564	4.75781935	4.991674389	5.630743824	2.800769011	3.945983268	4.893953693	3.826406414	5.347541037	4.518601023	4.101193993	5.171217193	4.44717564	5.071223779	4.655176062	4.757214503	4.287589438	4.900995275	5.002288002	5.217951194	4.960845488
