gene	GSM446731	GSM446732	GSM446733	GSM446734	GSM446735	GSM446736	GSM446737	GSM446738	GSM446739	GSM446740	GSM446741	GSM446742	GSM446743	GSM446744	GSM446745	GSM446746	GSM446747	GSM446748	GSM446749	GSM446750	GSM446751	GSM446752	GSM446753	GSM446754	GSM446755	GSM446756	GSM446757	GSM388115	GSM388116	GSM388117	GSM388118	GSM388119	GSM388120	GSM388121	GSM388122	GSM388123	GSM388124	GSM388125	GSM388126	GSM388127	GSM388128	GSM388129	GSM388130	GSM388131	GSM388132	GSM388133	GSM388134	GSM388135	GSM388136	GSM388137	GSM388138	GSM388139	GSM388140	GSM388141	GSM388142	GSM388143	GSM388144	GSM388145	GSM388146	GSM388147	GSM388148	GSM388149	GSM388150	GSM388151	GSM388152	GSM388153
TBX1	4.312107888	4.600103392	4.479628893	4.4634615	3.731193347	4.356045723	4.461028674	4.401658208	4.840881522	4.451549836	4.254994815	5.180485742	4.503048006	4.429586336	4.599102882	5.390293363	4.168242142	4.033336079	4.402716249	4.658581691	5.040025769	4.805504843	4.661991995	4.573720546	4.242594672	4.696717074	5.021628881	4.196510012	4.572260746	4.34050936	5.093478298	4.118076566	4.815988572	4.946012176	4.117342017	5.07951683	4.165210487	4.545486522	3.831890112	4.447948847	4.312497899	4.348757168	4.342816478	3.943119899	4.992957382	4.038104874	5.172406567	4.643826695	4.410998091	4.074835616	5.122121328	4.585135009	5.112562881	4.402834282	4.342109524	4.521598474	4.553976983	4.48053795	4.596388259	4.634377659	4.774176595	4.908595249	4.145978275	4.698492803	4.683486357	4.879695699
TBC1D9	7.347533646	7.517292805	6.978578707	6.521760681	6.990296493	7.041071211	7.23638909	6.430051572	6.507675688	7.173180405	7.086061179	6.900365308	6.371236049	7.184640208	6.955224935	6.440596532	6.870520153	7.622125331	7.046118412	6.182631058	6.723085936	6.900365308	6.644778915	7.251863274	7.698764485	6.591454545	6.874413255	7.275771032	7.580339292	6.607470721	6.610914693	6.819712019	6.95082198	6.552775739	7.173423567	6.754029634	7.597192684	7.278276551	6.560070744	6.867034003	7.118138067	6.39235439	7.656499904	7.059007863	6.974610977	7.203918949	7.23526684	7.135048035	7.136608482	7.165660446	6.502369406	6.932276301	6.687670432	7.060524939	7.099511663	6.466469094	6.46923588	6.6168496	6.667921891	6.981470609	6.844343415	7.10220039	6.813271123	7.164261111	7.143565783	6.856871108
TBC1D2	5.747364422	6.147753889	5.25426225	6.292948608	5.546002941	5.825300138	5.365451302	6.018140732	5.595070458	5.706981672	5.189695109	6.001234813	6.114353377	5.766776851	6.243591716	5.4963854	6.543767463	5.864445681	6.858357133	6.605567069	6.567202568	6.300732934	5.837239218	5.978734926	5.44980716	6.048810265	6.254797761	7.039685669	6.958766904	6.2367329	6.164216462	5.836013537	5.945207014	6.536928355	5.395439592	5.246717003	5.740389282	5.644768493	6.249133041	5.569247446	5.409570938	5.798116718	5.317835198	5.854269084	5.620413693	5.617455848	5.668679853	5.598155237	6.575685011	7.21764349	6.418729223	5.962847751	5.626823158	5.803264474	5.94971924	6.208440053	6.249809963	5.478477605	5.876285429	5.758038094	5.449816212	6.606006541	5.91448025	5.778990425	5.825630933	5.571040659
TBC1D10C	6.136261717	6.344412125	6.074234949	6.240818189	5.343695166	5.870339889	6.546490006	6.305719582	5.86161354	6.180882187	5.206733203	6.780831648	6.60028091	6.975660775	6.638693354	6.668572008	6.51106324	6.378484659	6.686833789	5.820177407	6.626795601	6.608937771	6.33953672	6.413314364	5.895419644	6.058034739	6.204508145	6.537305919	6.661166916	5.965694252	5.852570997	5.973919101	6.039629452	5.722318034	6.373456488	6.052982616	7.791621454	7.210273488	6.032975445	5.992079118	6.763223213	6.064260255	7.062145774	6.320153225	6.156758627	6.10654206	6.216474478	6.25988923	6.676863291	5.858838932	5.633351597	6.275426631	5.474369535	6.998119719	5.70472807	6.03682066	5.964718795	5.828659687	5.971453639	6.174371986	5.772299422	6.58063803	6.419394065	7.183493116	6.50493386	6.194017976
TAX1BP1	9.755717494	10.1413907	9.839277276	9.922628782	10.69585219	9.703300068	9.768611807	10.19242365	10.22483349	9.855573125	9.717125563	10.40026752	10.29237782	8.994740891	9.731397888	9.252311761	10.01025723	9.013776693	8.793274657	9.732368267	9.751957734	9.788782417	10.42198497	9.597523213	9.95306825	9.731189872	10.1450652	9.995693126	9.94479307	10.03934458	9.927963907	9.970452125	9.912783105	10.66659227	9.283473934	9.187304609	9.709436121	9.702271983	10.1347697	9.801069111	9.452818599	10.05711416	9.559271658	9.657158479	9.723771988	9.978507188	9.427695668	9.717349825	9.852125194	10.23798313	9.888747398	10.0322526	9.463468152	9.907941767	10.06511248	10.27518626	10.03744645	9.229233582	9.930654569	10.17511012	9.600225582	9.516412222	9.796646299	9.767516052	9.892972546	9.383783799
TAP2	6.901064457	7.018855109	6.565466167	7.126717235	8.139959632	7.5884135	6.248690115	5.814473993	7.216783478	6.182052381	7.58488238	6.170542972	6.814144464	6.27729085	7.32700425	5.830640263	6.733015246	5.900243307	7.158705802	6.823020099	8.778391357	6.614518545	6.226092798	6.748241464	6.329347814	6.427167155	6.450367289	8.183958048	8.106032943	6.402805532	6.505713484	6.376134036	6.219539282	6.510956787	6.681426706	5.89719342	7.695903289	7.366689457	6.776225199	6.013725888	6.470663987	6.825766257	7.495696588	6.333155243	6.236671539	6.925298492	6.244211304	6.205236859	7.107201258	6.968332539	6.264657712	7.296851619	6.550298783	8.52831149	7.3947717	6.624532313	6.266097656	6.400755952	6.788290174	7.266082182	6.187488948	6.302384907	6.235350626	7.315593483	7.166835713	5.984132247
TAP1	7.198073254	7.017384645	7.686759427	7.541354167	8.574073892	8.24671714	6.462400625	6.314717411	7.91436727	7.240929333	7.510563904	8.114247291	7.508589541	6.240194035	7.353783553	7.014044446	7.17057954	6.507019703	7.546538274	7.170386405	8.649871383	7.364111476	7.945791862	7.009980647	7.571776928	7.074497435	7.350827988	8.740460491	8.790081382	7.475683181	7.461055976	7.437550433	7.454444962	7.482840907	6.683296603	6.629763679	7.651864667	7.340375086	6.889362616	6.997558158	7.305024403	8.386604738	7.371536707	7.004773827	6.870212637	7.624911541	6.780301687	6.674705011	7.713952991	7.92688483	6.784452908	8.027443327	6.892334635	8.679848942	7.699092654	7.403763114	7.669202556	6.514146175	6.884877053	7.717201524	6.717909999	6.945590353	7.351873854	7.442941404	7.42728504	6.668917887
TALDO1	9.293181157	8.610101916	9.034668085	7.93481304	9.586789821	9.467594993	8.68022449	8.59732303	9.687028322	9.078415484	9.081694256	7.571266567	8.36988996	8.5631463	8.281830818	8.587162074	8.480031808	8.278095346	8.928865571	7.80031481	8.658203376	8.000948126	8.784315324	8.769782433	8.965964128	7.992648762	8.267716855	8.94339736	9.046181179	8.804340316	8.547763325	8.909616228	8.853257482	9.640842308	8.31063951	8.069826585	8.83954183	8.6738719	8.970801899	8.249412736	8.552070212	9.738494633	8.339146972	8.543125944	8.057490503	8.633125788	8.017325024	8.544105207	8.923725491	9.394396558	8.487873571	9.048435812	8.13315504	8.833964669	8.933429942	8.875778822	9.183929529	7.511421817	8.876366915	8.335071631	8.282923701	8.536785223	8.812603125	8.585227389	8.669694212	7.860384919
TAGLN3	5.232580031	5.417636643	5.122923056	5.645903897	4.896767641	5.152534172	5.387106958	5.211269061	5.258090762	5.255382506	4.598371594	5.139817351	5.217369608	5.117622181	5.412574192	5.060230777	5.572968429	6.140621796	5.782261611	5.292628014	5.303777499	6.093848866	5.001214176	5.629535607	5.721233452	5.419152456	5.299797561	4.739595213	5.059012443	5.204678578	5.234465831	5.31552797	5.382851703	5.115945362	5.729623354	5.179406815	4.668960388	5.088458387	4.812857908	5.752455188	5.880416831	4.647004578	5.986380225	5.096091796	5.699526803	4.926141864	5.541547782	5.6455993	5.021934995	5.075835201	5.12468262	5.628008604	5.673073793	5.688677695	5.48518889	5.353501922	5.333270611	5.290478299	5.862116575	5.236945603	5.993814114	5.242802798	5.693554012	5.088914828	5.260663222	5.572404116
TAGLN2	9.035441038	9.59215503	9.421497722	8.9903852	10.02055445	10.06453481	9.212165367	10.33630603	9.602517061	8.632221159	9.360800792	8.596883505	8.864150755	8.820430891	9.019839296	8.120653104	9.109723201	8.623063376	9.448255184	8.915387246	8.707167929	8.382664771	9.040613954	9.317918863	9.031147432	8.902998788	8.913483067	9.373361918	9.539630557	9.487027308	9.3970358	9.116128242	9.167149186	9.493421024	9.002192	9.20701931	8.593868921	9.245495966	9.297174277	9.207743171	8.507457169	9.211077443	8.120509971	8.770587453	9.199646287	8.940515885	8.488802234	8.858739037	9.161268627	9.641604088	9.748263217	9.233212755	8.604784332	9.281522378	9.451791924	9.655834076	9.51360228	8.504921246	9.702311334	9.471121124	8.927132112	8.793951252	9.327924238	9.242200718	8.888652505	8.629679566
TAGAP	6.200353321	5.073429003	6.012310848	5.115579522	6.140261656	5.905621552	6.349888459	6.607059024	5.384828285	5.105283543	5.195529433	6.233804981	5.952399721	5.769825047	5.598318656	6.091020873	5.720398595	6.11001025	5.523584644	6.81569043	6.154725142	5.091052347	5.763971239	6.298792992	5.208397832	5.351554108	6.10946206	6.545216843	6.559007527	5.480301465	5.315717202	6.017335383	5.969540167	4.806179711	6.072677775	5.529399982	7.161821956	6.434259074	5.912851452	5.281959925	5.583247751	4.712359874	6.947558177	5.991921493	5.612381887	6.330023827	5.798231025	5.409880829	6.029928407	5.548463913	4.780406638	5.948984591	4.416355656	6.35214564	5.860220398	5.616838875	5.389156969	5.058196719	5.428077105	6.700896029	4.747009557	6.724620986	5.678317529	6.940168908	6.610587303	5.481409483
TACR2	4.634159437	4.945580565	4.823898516	4.66968195	4.610325603	4.633400977	4.463189221	5.23433158	4.561435892	4.596148016	5.026733607	5.249809378	5.223323708	4.457250324	5.046873066	5.350848379	4.724120272	5.192271468	5.072007033	5.1691583	5.20317688	4.583966516	5.003629306	4.919983777	4.420704858	4.936953362	4.878204597	4.968023601	4.437399992	4.722525684	4.779610152	4.717781442	4.748139887	4.909875241	4.676586769	5.548516278	4.843537046	4.586338426	4.494051523	5.122222091	4.996684834	4.694873358	4.662211228	4.624547001	5.240238606	4.586962515	5.392321407	4.844617273	4.563370284	4.63130663	4.88766694	4.79376361	5.199102718	4.769383862	4.65447841	5.123916958	4.815251132	5.597785428	4.634834994	5.127165693	5.080381826	5.066874138	4.704314232	4.817698335	4.838210109	5.253288946
TAC4	3.925528413	4.194153402	3.895787657	4.598446692	4.008487891	3.863895147	4.006362712	4.07875139	3.993927653	4.519881339	3.658069042	4.209146348	4.33426209	3.77858407	4.349998458	4.654237985	3.876035636	4.004931429	4.207117077	3.993927653	4.22356869	4.972485076	4.192957356	3.772888512	3.800530015	3.959811145	3.748578624	4.182236013	4.027628421	4.143951092	4.331366688	3.7796487	4.161673859	4.479288291	3.584813792	4.508001052	3.707743785	3.769513017	3.797828688	4.042522506	4.266717968	3.830807706	3.920211004	3.303040893	4.41155819	3.780384746	4.734810656	3.907463351	3.993116672	4.094542472	4.507592838	3.508951172	4.825488903	3.81870714	4.145493577	4.093360464	4.222011312	4.322714984	4.094574148	3.985194375	4.261194996	4.263982237	3.930613816	4.158668089	4.401236082	4.413427985
SYTL3	5.750389717	5.772624755	5.465931089	5.735824735	5.566333254	5.872999654	5.459458139	5.386971017	5.702743795	5.956249363	5.840849181	5.664600266	5.757688774	6.031726368	6.36942125	6.046419611	5.910918357	6.13472705	6.273168247	5.623267524	6.989919809	6.221195055	5.861224393	5.817268947	5.420315337	5.775475212	5.74879898	6.122628284	6.077654697	5.611125544	5.671126936	5.659658921	5.701921386	5.439177848	7.088093273	5.909062232	6.437310648	6.131167698	5.860551783	6.235451825	6.158643917	5.435668695	5.995636058	5.932963914	5.583855231	5.692928357	5.830284464	5.547618575	5.866483135	5.847110563	5.464683931	5.698871004	5.798112256	6.018784216	5.657178408	5.799415351	5.804387314	5.576254357	5.392725715	5.771304292	5.536874436	5.81807861	5.579648317	6.800712776	5.784708289	6.000148688
SYT4	5.309703825	4.970669641	4.923731064	4.879174462	4.612252286	4.507615919	4.963129737	4.941807523	4.821226482	4.998277694	5.204007706	4.575733318	5.082667495	4.782550478	5.300328103	5.4364937	5.053391962	8.295076667	4.998027933	4.895389431	5.486979185	5.902623287	4.945824691	5.612509617	6.138755122	5.060674321	4.772965056	4.246803615	3.82540199	5.622312425	5.480855518	5.782766762	5.663578385	4.228150484	5.798043494	4.510244418	4.205085904	3.662035807	4.705160073	5.808471722	5.613578379	4.654733102	6.185512165	5.171344638	5.477079584	5.63496317	5.97509905	5.746906307	4.884940789	4.07717123	4.760378721	5.903341762	5.302222584	5.933103113	5.142462611	4.853589087	5.075155549	5.568394133	6.273210302	5.211438862	6.383879018	4.544446353	5.771536492	4.743869889	4.752154248	5.26017165
SYNPO2	7.756225232	9.090174068	7.704241892	6.991544257	7.925898936	6.659474917	9.439247019	9.9793383	6.993946011	7.896820008	7.146135324	5.976708955	9.180152952	9.201723852	7.12760963	6.71884178	8.753332625	8.701716771	6.826819116	7.283289087	6.661373243	6.987105185	7.739490323	8.600136063	8.953322437	6.706672145	6.855139469	6.585514488	6.891423584	7.408694192	7.421525355	7.426190047	7.413342274	7.737008193	8.688329601	9.622904999	8.3838806	9.716467826	7.01445356	7.550437547	8.506795488	6.583749505	9.530578885	8.212272305	7.617365512	6.804189255	7.704323651	8.884681069	8.714086435	4.694832926	5.538846586	7.488601165	7.354560513	8.534892772	7.506056655	7.338045981	7.718465152	7.252274164	8.487018504	7.553388874	7.368158835	7.429200161	8.722932709	8.565071843	8.222864284	7.823706355
SYNJ2	7.028306681	6.028259792	5.655833213	5.379893062	6.608751556	6.349393598	6.364579872	6.168430494	5.798179964	5.585579697	6.917182456	6.037065414	5.596595611	5.907318363	5.342753936	5.880313443	5.751580525	5.825736531	5.822244446	5.763905337	5.575297363	5.865855068	5.780335799	5.80027048	5.995142781	5.428399226	5.714038179	5.795555711	5.951464239	6.484140146	6.535570462	5.888478971	5.868265023	6.303280848	6.122937667	5.534820441	6.033380225	5.807058332	5.586059436	6.037169474	5.085544144	5.739271367	5.411964382	5.697694771	5.532094742	5.899404033	5.675656946	6.1755068	5.999126692	6.983704967	5.980755537	6.388149502	5.451635938	6.181770812	6.193674692	6.54656355	6.474055414	5.458697711	6.476525615	5.696983382	5.699869208	5.595528854	6.181590449	5.796156574	5.763235923	5.606620383
SYNE3	5.782805583	6.503760274	6.332575802	6.11004332	6.088047598	5.862249201	6.685682125	6.144296128	6.278266538	5.64047447	5.74847179	6.346122215	6.381133251	6.025323713	6.160723491	6.451933253	6.753320191	6.817290745	6.779895302	6.363062668	7.589804019	5.680089245	6.582732067	5.947356087	7.36119398	5.821571479	6.106491562	6.037368507	6.306886963	5.616533096	5.77661452	5.787298352	6.047409737	6.289219154	7.603163507	7.073178394	7.158207734	7.249833286	5.448277185	6.07469717	7.431198874	5.259501077	7.835526072	6.820165374	5.879506557	5.435735063	5.848734491	7.149706644	7.046841925	5.690601171	5.633802553	6.501727128	5.758961546	6.911398473	5.310785047	5.813471863	5.482084687	5.790050366	5.843893086	6.233529295	5.950695871	6.565378009	6.844630895	7.502822105	6.520739794	6.384996438
SYCN	6.409320287	5.968123239	6.345102499	4.754997159	3.548100464	4.684343668	4.660297388	6.33230781	8.057279366	7.520725006	5.978043908	5.764066537	5.623334661	7.356831459	7.040716114	5.543416087	6.838696643	8.900286677	7.986997454	6.92516492	7.19341697	9.591257584	8.100827332	7.281691806	6.574454128	4.132777544	9.301492787	3.504836504	3.337664308	5.220843785	4.87386299	8.838434277	8.441142527	5.632546007	3.644200102	11.22248255	3.793306754	3.233849967	3.472225992	9.768132811	3.913114789	8.858699651	3.650819405	9.394494696	9.365069485	8.263027992	11.06616761	6.360994948	6.461546745	5.109700382	6.812287712	5.378560779	10.5268349	3.569055525	6.708514077	3.891921529	4.315236734	11.21998743	4.972502578	10.25421621	10.9552726	3.267474295	4.015007235	3.852844299	7.091912684	11.20429395
SVOP	3.88792972	3.678899567	3.72206245	3.82214003	3.540171468	3.774586245	3.719957831	3.712842172	3.77026019	3.834083506	3.943701771	4.024295574	3.964059239	3.7524688	3.7770875	4.409953446	3.566764501	5.121136936	3.952378162	3.835273015	3.77159025	4.398947642	3.728031472	3.920393464	3.918023424	4.331224146	3.564619943	3.481397575	3.491499563	3.908776149	3.792125224	3.81769913	3.872437649	3.50549734	4.013786893	3.699679225	3.605810093	3.253735476	3.711244002	4.133158333	4.470418891	3.559724757	4.8416243	3.808004825	4.24748923	3.857196675	4.240734893	3.991312169	3.700387261	3.444926482	3.741028465	4.448897281	4.028023069	4.169115503	3.908736858	3.930347123	3.821828467	4.13647187	3.8182831	3.870966553	4.579460496	3.635873296	3.97818246	3.800189553	3.642500072	4.018431644
SVEP1	7.197596923	6.670515001	6.622934616	6.798366965	6.44245915	6.399628415	6.798338611	7.070886826	6.604596653	7.02034037	6.268307382	6.214562068	7.082695913	6.78494099	7.193445091	7.642708851	7.316787786	7.030218604	7.250870324	7.54150407	7.030901132	7.073760102	6.936138888	7.341747642	6.300560976	6.996087443	7.525331508	6.248298012	6.471234724	6.371956518	6.502772576	6.337017273	6.460525095	6.304750565	8.153573247	7.377903634	6.69772296	7.836782768	6.07224985	6.755098051	8.255680757	6.158651865	8.717216457	7.537601354	7.014990489	7.013400835	7.194754014	8.084132925	7.392154798	5.596758586	6.002229625	6.905515069	6.8654967	7.093276121	6.447780774	6.488708626	6.810986347	6.721775843	7.081984744	6.812782414	7.097101361	7.118294662	7.528496667	6.907443995	7.205919329	6.874965063
SV2B	5.028192456	4.55081444	5.290434673	4.775745217	4.763603978	4.732195679	4.651146203	6.191873859	4.84644865	5.348375527	5.224247026	4.652229104	5.447606928	5.494742945	6.244482997	5.114360693	5.130369032	6.560252017	6.505034053	5.486429202	5.546248726	6.373211037	5.191946259	4.994385781	5.644159095	5.316325458	5.010762117	4.821618363	4.967554006	3.963602585	4.225050575	5.490577509	5.331487499	4.418698742	4.972187263	5.633019875	5.079542221	5.195710292	4.718592233	5.886132214	5.162676291	5.190229649	5.057144549	6.651061087	5.84362822	7.51783233	7.154120873	5.466377858	5.002603552	4.357250697	5.139438515	5.377539677	6.499209823	4.64507604	5.177150395	4.71720543	4.90878463	6.008863997	5.458457842	5.933171599	6.788442645	4.929324538	4.580848697	4.625589368	4.848702023	5.89514112
SUSD5	3.443625631	3.762836424	3.031802709	3.289888839	3.47293257	3.052700183	3.531319961	3.695916473	4.642402992	4.45221773	3.364799292	3.451236577	4.197451576	3.262333743	3.720758623	3.749088451	3.624051194	2.945090876	3.168078059	3.749088451	3.35016894	3.363019384	3.304581068	3.423226291	3.931521037	3.822671939	3.167155683	2.913560382	2.886883552	3.293434978	3.509269139	2.990075651	3.118697209	5.505145404	4.968323113	6.580893258	2.766072861	3.474615286	2.584989141	2.775660884	4.695704111	2.77190103	5.843574449	3.513325282	2.742198734	2.929855129	2.814500216	3.280913666	4.990752449	2.629525902	3.937833633	3.116748716	2.602136506	3.064956905	2.966186105	2.967032266	3.090208824	2.889685682	3.422528984	3.041232337	2.986273457	3.819901617	4.436955959	3.87541075	3.784811835	4.272873825
SUSD3	4.682488553	4.840611577	5.070536611	5.195689281	4.854959266	4.882622454	4.562864091	4.820305233	4.625369572	5.249930438	4.183937995	5.211945336	4.994516126	4.947101853	5.78119686	5.769901803	5.672600284	4.856255682	5.391588898	4.969906711	5.589532713	5.491405181	5.300715889	5.272270019	4.895094458	5.307637102	5.377891675	5.642571622	5.532663828	4.860943948	4.751128838	5.137425662	4.915291044	4.418836197	4.901319149	5.059749171	5.975808695	5.809454145	5.146719979	4.958137222	5.169283296	4.504973342	5.538827281	5.140926688	5.090614035	5.181423455	5.223077906	4.630022093	5.327385323	4.740656334	4.58449025	5.05411638	4.740656334	5.533658971	4.89755729	5.17701411	4.585815751	4.902063053	4.681202277	5.007650493	4.935421485	5.194860262	4.992906942	5.846618459	5.566317855	5.529114136
SUPT5H	6.844431563	7.250483385	7.098964776	7.323401119	7.078515474	7.273621996	7.38449342	7.022488544	7.369232501	7.141898153	7.182992974	7.249607126	7.240947869	6.93277795	7.493833045	7.888248304	7.183938395	7.025259327	7.694507662	7.074262619	6.931514754	7.687714233	7.26269792	7.145150527	7.378727375	7.392846036	7.33483151	7.142936476	7.200052408	6.992012364	7.161563411	7.830565464	7.909117184	7.262082235	7.012092306	7.211110079	7.21406903	7.094231428	7.154819333	7.029313922	7.189924271	7.262612131	7.362430443	7.080786381	7.292846722	6.878113292	7.120960572	7.269007785	7.460280476	6.990289067	7.282590505	7.232277565	7.124686262	7.532275991	7.14628437	7.466533488	7.838009042	7.202949634	7.267882036	7.143541695	7.165383962	7.274263266	7.962770116	7.248257906	7.134625028	7.127010958
SUPT16H	5.146675079	5.315297869	5.204644103	5.654269092	6.089202271	5.487161948	5.950162235	5.167111839	6.302430339	5.901835515	4.992220128	6.381753728	5.776196457	5.778813518	5.739005682	6.297755162	5.38106051	5.423174268	6.356814319	5.316497733	5.520722298	5.13538479	5.603762901	5.677794651	5.282405889	5.83026757	5.680615751	5.848956567	5.799427767	5.919819499	5.824800181	6.171700717	5.590348588	4.826877377	6.058076889	5.350130998	6.247247548	6.228942644	6.249664352	5.983868736	5.979584366	6.29349738	5.65106752	6.050618453	5.768556682	5.789626509	5.48739528	5.820270559	5.226872041	6.023786826	6.000441568	6.191145098	5.710173235	5.836087513	6.02240087	5.653401997	4.06934637	5.644108042	5.810439771	5.127740608	4.974289294	4.423149113	4.428245151	5.606143716	5.368052171	5.187060296
SULT2A1	2.62422767	2.720073634	2.911983582	3.295967076	3.165768316	2.936550298	2.862126569	2.556075038	2.909324411	3.268255044	2.983223308	2.833695609	2.925801483	3.368457406	2.953235515	2.981908978	2.979607719	2.894153464	2.884139584	3.063640229	2.668231955	3.69604244	2.911983582	3.033424374	2.839862983	3.121000937	3.322248276	3.301276987	2.846855304	2.906606907	2.947198359	2.951917267	2.866145673	2.907735112	2.881606082	2.87853756	2.89992503	2.73985425	4.375403267	2.829230921	3.51970217	2.880213639	2.938100784	3.022135512	2.917481417	2.87507288	2.988634517	2.965173824	2.869934871	3.064548541	2.794881506	2.771345932	2.973881713	3.175923837	2.997566551	2.931207678	2.995512953	2.745260987	2.919553838	2.854737168	2.948306019	3.017526131	2.929626722	2.828230883	2.947466958	2.943540843
SUGCT	5.906268504	6.123446382	4.701673999	5.795213478	5.998413634	5.067701786	6.130658108	5.231237161	5.912427818	6.926080637	6.15952885	6.23138655	6.312972273	5.199717734	6.451722158	6.812619978	6.492305764	5.060907333	5.231237161	6.258646991	4.996957376	5.998883952	6.967056917	6.423639371	5.585199052	5.284707487	4.917414447	5.423067878	5.846615993	6.37603322	6.389739077	5.986087047	5.917054479	7.299020031	5.89348253	5.198574496	4.57356747	4.800316137	5.067312087	5.492122637	5.245540273	6.058354235	5.597957456	5.691647704	5.417377775	5.924957511	5.338759611	6.204028745	6.296219898	5.071394811	6.6415268	6.724405582	4.963488427	5.442245311	6.085563334	6.457637866	7.01778415	5.133621298	6.955303781	5.969529866	4.324263323	6.956410245	6.845555415	5.095575992	6.640670252	5.698661376
STYK1	5.70977856	5.583389036	5.424167494	4.386721609	5.140177759	5.762745581	4.843779617	5.338498939	4.607513336	5.248879371	4.953791534	5.776795832	4.961891971	4.756134447	5.234751481	4.848368721	4.68378507	4.186224599	4.351420475	4.849089035	4.513195398	4.23510119	5.864311702	5.038101543	5.444059244	4.493699675	5.095661177	5.045642968	5.468409453	5.278243608	5.071420958	5.031448315	5.007607456	5.851018688	4.218384282	4.450267255	4.664531449	4.67163707	5.253705463	4.520653853	4.265894435	5.078182331	4.520397346	4.47720154	4.960246086	4.554563465	4.432872203	5.351255781	4.257162934	5.566153869	5.760604687	5.78768317	5.139740138	4.960246086	5.376980378	5.785093198	5.424075417	4.369223949	5.396073365	5.490448297	4.778168498	4.776262905	5.393597877	4.498399825	4.875494105	4.60043393
STXBP6	4.882686404	7.96919647	5.942823844	4.323958381	6.096890732	4.559577174	5.179555605	5.001770775	5.087736846	5.608346712	5.255764139	6.075328941	4.726505943	7.314137243	4.854243939	5.974337389	3.917170269	7.081769979	4.101997431	4.023291466	5.000435942	5.547079033	5.566583084	5.677609062	5.926538883	4.31348599	6.778578278	2.724858068	3.407015555	5.841979602	5.664651419	5.845077112	5.704254309	4.720591833	5.979897984	6.311104422	4.383408611	4.893144941	5.081898127	6.644485845	4.162683043	5.473029604	5.487255907	6.34611965	6.013063759	6.077537962	6.178260386	6.282259802	5.551952783	3.647514187	5.09719222	5.640026426	6.561150611	5.158638068	5.971879573	6.477124183	5.529991876	6.785471833	5.300002942	6.248026328	6.583228655	2.622018829	6.254905442	3.639274518	5.084666441	6.058341693
STXBP1	8.137527812	7.49492531	8.120305963	7.075418243	7.834998797	6.819476484	7.378351025	7.585521324	7.398147174	7.127464391	7.203858013	7.167022338	7.673188152	6.891149528	7.430291068	7.132081718	7.124680306	8.716212097	6.634905975	7.206069809	7.90767508	7.529798633	8.017404464	7.378619071	8.371349178	6.865342256	7.783819905	6.882852015	6.951226515	7.487419931	7.391112555	7.530255161	7.487261778	6.916504846	7.947301494	7.31669318	6.965549033	7.254237453	7.140829214	7.816517129	8.110114363	7.164497966	8.472815104	7.546669035	7.643668673	7.896137163	7.809597184	7.947791634	7.435157338	7.465447511	6.819622154	7.704080655	7.524685802	7.523939564	7.532978032	7.608435715	7.300157111	7.450472199	7.758172431	7.186807263	7.89400593	6.834221033	8.217904995	6.997993726	7.238406208	7.393368442
STX1B	4.614245836	4.593239009	4.710543924	4.702513858	4.368227644	4.617681728	4.513776168	5.431650991	4.475456012	4.799899524	4.925581871	5.214557173	5.19110548	4.497816195	4.900584704	5.038741913	4.657914701	4.878164027	5.048551506	4.420869638	4.815686871	4.908546704	4.858653987	4.640130602	4.898258074	4.808208646	4.79922201	4.279196149	4.584992068	4.597257135	4.846349775	4.718268295	4.817575954	4.767488277	4.808532439	5.179984135	5.029573246	4.928059863	4.497798832	4.892986084	4.958416567	4.695523351	4.504289754	4.976121727	5.254564018	4.780537144	5.094616802	4.592488156	4.555029773	4.574559519	4.988334096	4.575961771	5.212550761	4.239850748	4.754815301	4.666714162	4.702812109	5.207315055	4.365834275	4.818758574	5.074153188	4.891671201	4.733377672	4.832278581	4.581691488	5.364710915
STX11	4.366669076	4.184897422	4.361879798	5.014621891	4.383470337	4.510870111	4.600971389	4.083551758	4.150735745	4.343935107	4.296920146	4.602776139	4.469509182	3.892875827	4.70789561	4.543526998	5.586322679	4.45289627	4.397018552	4.589719774	4.473390416	4.802893696	4.36054863	4.169384909	4.3858256	4.234474827	4.312123922	5.291720834	5.207832207	3.877296836	4.076624897	4.15187691	4.182639973	3.567913149	6.180371472	4.762490913	5.571697557	5.48435286	4.490440567	4.640579668	5.109847504	4.007374051	5.314501013	4.760656398	3.999855793	4.509831802	4.367770108	3.884948971	5.371717334	4.373484854	3.469018094	4.707589876	3.729226567	5.45208873	4.142573234	4.254287455	3.802289272	3.874540127	3.61973648	4.794434859	3.550272807	4.111829505	3.85852494	4.338124617	4.526083484	4.067703152
